decimalLatitude,decimalLongitude,day,month,year,t2m,e,tp,sdtb,altitude,ndvi,species,sp,ocup_solo,t2m_abr_ago,et_acumulada_180d,pet_acumulada_180d,t_minima_media_abr_ago,dias_geada_abr_ago
7.119929,-73.077348,21.0,6.0,2004,291.135009765625,-3.6889687180519104e-06,0.0597119852900505,798.01,1645,0.1589,Unknown,1,0.0,283.17266845703125,-0.9635219573974609,-2.8538832664489746,280.2710876464844,0
38.33,-5.83,14.0,5.0,2007,289.3562316894531,-0.0009760120883584,0.0,936.69,537,0.4419,Unknown,1,0.0,,0.0,0.0,,0
38.10993,13.381778,21.0,2.0,2023,289.01666259765625,-0.0008414331823587,0.0,1161.89,-679,0.1682,Unknown,1,0.0,,0.0,0.0,,0
39.995818,-76.374908,23.0,4.0,2022,282.644775390625,-1.5043653547763824e-05,2.3871659777796594e-06,948.77,-12,0.1764,Unknown,1,0.0,300.8138732910156,-1.0201573371887207,-6.890664100646973,297.5596008300781,0
30.937928,-85.237313,29.0,12.0,2025,291.99969482421875,3.427732735872269e-05,2.4798511731205508e-05,1795.4,44,0.013,Unknown,1,0.0,301.68243408203125,-0.8972351551055908,-8.009556770324707,298.41156005859375,0
39.025445,-76.931945,21.0,4.0,2023,289.219482421875,-9.821588173508644e-05,0.0,1498.41,55,0.6119,Unknown,1,0.0,302.427490234375,-0.8296834230422974,-9.016292572021484,299.06011962890625,0
-33.386356,18.912454,14.0,10.0,2025,291.7328491210937,-0.0014403676614165,0.0010605379939079,2749.88,-4621,0.452,Unknown,1,0.0,,0.0,0.0,,0
-33.803048,-71.246933,29.0,8.0,2025,281.27398681640625,-3.144657239317894e-05,0.0004711001820396,3444.73,124,0.021,Unknown,1,0.0,284.6741027832031,-0.25357723236083984,-0.6177144646644592,279.8111267089844,19
38.716,-6.98,4.0,5.0,2024,294.71978759765625,-0.0010476317256689,8.52346317969932e-07,432.62,254,0.4982,Unknown,1,0.0,,0.0,0.0,,0
36.001736,-88.999746,14.0,4.0,2024,297.459716796875,-0.0003712158650159,8.583068620282575e-07,1784.01,94,0.5595,Unknown,1,0.0,302.5556640625,-0.876284658908844,-8.739725112915039,299.1947021484375,0
-3.881101,-38.530561,11.0,4.0,2025,293.39794921875,-5.1973387598991394e-05,6.604194368264871e-06,1510.53,52,0.4462,Unknown,1,24.0,299.80419921875,-0.9976183176040649,-2.116257667541504,297.8382263183594,0
36.343845,-89.497481,26.0,11.0,2024,277.03466796875,-0.0006251791492104,3.784149885177612e-05,4360.57,86,0.4582,Unknown,1,0.0,302.5556640625,-0.876284658908844,-8.739725112915039,299.1947021484375,0
39.661056,-0.671657,19.0,2.0,2025,294.12158203125,-3.629457205533981e-05,0.0021615475416183,1102.95,451,0.2288,Unknown,1,0.0,,0.0,0.0,,0
39.827759,-0.261138,23.0,2.0,2025,298.120849609375,-4.2671337723732e-05,0.0,835.76,733,0.283,Unknown,1,0.0,,0.0,0.0,,0
38.123226,-79.0498,27.0,5.0,2024,295.76416015625,-0.0001643542200326,0.0,1588.59,432,0.6517000000000001,Unknown,1,0.0,302.5556640625,-0.876284658908844,-8.739725112915039,299.1947021484375,0
38.954673,-3.946075,18.0,4.0,2024,299.206787109375,-0.0003889398649334,0.000495433807373,1117.82,723,0.4871,Unknown,1,0.0,,0.0,0.0,,0
39.890484,-4.173292,28.0,3.0,2024,287.3636169433594,-0.0011347159743309,0.0009670704603195,1095.51,783,0.3805,Unknown,1,0.0,,0.0,0.0,,0
-36.622645,-72.140543,3.0,9.0,2023,280.6279296875,-5.629844963550568e-05,0.0020008385181427,3941.25,108,0.0972,Unknown,1,0.0,,0.0,0.0,,0
39.964394,-3.394033,10.0,4.0,2024,301.459228515625,-0.0004593655467033,7.320940494537354e-05,1978.0,697,0.5069,Unknown,1,0.0,,0.0,0.0,,0
36.690036,-6.124175,9.0,9.0,2023,296.9308166503906,-6.034038960933685e-05,1.9431114196777344e-05,674.47,44,0.2377,Unknown,1,0.0,,0.0,0.0,,0
-36.621313,-72.110767,6.0,8.0,2023,282.588134765625,6.790272891521454e-06,0.0001177936792373,3941.25,121,0.3947,Unknown,1,0.0,,0.0,0.0,,0
39.820442,-4.060185,17.0,6.0,2023,294.602783203125,-4.959758371114731e-05,0.0006952675175853,823.26,674,0.313,Unknown,1,0.0,,0.0,0.0,,0
38.533661,-9.012159,1.0,11.0,2022,296.422607421875,-9.24617052078247e-06,4.351138045421976e-07,1188.24,86,0.3054,Unknown,1,0.0,,0.0,0.0,,0
-38.389217,-72.389655,28.0,12.0,2022,294.99951171875,-6.988365203142166e-05,0.0,2674.7,302,0.4729,Unknown,1,0.0,,0.0,0.0,,0
38.735243,16.193972,7.0,2.0,2023,300.976806640625,-0.0005975738167762,0.0001078039422282,1350.0,-112,0.4853,Unknown,1,0.0,,0.0,0.0,,0
30.607016,-86.895879,4.0,2.0,2023,277.23779296875,-0.0003805598244071,0.0,1264.13,20,0.6069,Unknown,1,0.0,302.427490234375,-0.8296834230422974,-9.016292572021484,299.06011962890625,0
39.983762,-8.396179,27.0,3.0,2022,292.7952880859375,-0.0002825357951223,4.276632239452738e-07,1288.53,136,0.446,Unknown,1,0.0,,0.0,0.0,,0
-32.812245,-61.395913,19.0,9.0,2021,288.4020080566406,-8.339714258909225e-05,4.351138613856165e-07,3199.61,98,0.0378,Unknown,1,0.0,286.38446044921875,-0.3982371687889099,-1.1630737781524658,282.9501037597656,8
37.408071,-5.940893,10.0,4.0,2022,302.77557373046875,-0.0001415079459547,5.632638931274414e-06,1314.04,19,0.4283,Unknown,1,0.0,,0.0,0.0,,0
39.983728,-8.396107,27.0,3.0,2022,292.7952880859375,-0.0002825357951223,4.276632239452738e-07,1288.53,136,0.446,Unknown,1,0.0,,0.0,0.0,,0
39.522272,8.640157,29.0,3.0,2022,298.4661865234375,-0.0002725468948483,8.583068620282575e-07,969.04,-126,0.2111,Unknown,1,0.0,,0.0,0.0,,0
